WD17CD,Proportion,Extent,Score
W05000999,0,0.5236842105263158,0
W05001000,0,0.2409201351539464,0
W05001001,0.2,0.5919050694220213,0
W05001002,0,0,0
W05001003,0,0,0
W05001004,0,0,0
W05001005,0,0,0
W05001006,0,0,0
W05001007,0,0,0
W05001008,0,0,0
W05001009,0,0,0
W05001010,0,0,0
W05001011,0,0,0
W05001012,0,0,0
W05001013,0.2857142857142857,0.5337711807272236,0
W05001014,0.2222222222222222,0.33520408163265303,0
W05001015,0.16666666666666666,0.3532271009014248,0
W05001016,0.6,0.6258662648846891,0
W05001017,0,0.7025793629650152,0
W05001018,0,0,0
W05001019,0,0.10029381045365786,0
W05001020,0,0.44569488004356544,0
W05001021,0,0.33495593789341166,0
W05001022,0,0,0
W05001023,0,0,0
W05001024,0,0.14953026582683884,0
W05001025,0,0.2072857995449289,0
W05001026,0.3333333333333333,0.30659840728100113,0
W05001027,0,0,0
W05001028,0,0.44132180186846726,0
W05001029,0,0.20197768802293695,0
W05001030,0,0.08365859413182329,0
W05001031,0,0.19210526315789467,0
W05001032,0,0.21842105263157893,0
W05001033,0.5,0.6414667655763888,0
W05001034,0,0.19210526315789467,0
W05001035,0.3333333333333333,0.3456200251582964,0
W05001036,0,0,0
W05001037,0,0,0
W05001038,0,0,0
