dz11_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Housing_decile,Crime_decile
S01003107,286,337,263,969,172,910,2522,1511,1,1,1,2,1,4,2,3
S01003108,1399,1253,1096,1699,2053,49,5464,2449,3,2,2,3,4,9,1,4
S01003109,5729,5711,5281,5722,5486,4311,2297,4600,9,9,9,9,9,4,7,8
S01003110,5996,5551,5878,5365,6249,6074,2508,4668,10,9,10,9,10,4,10,8
S01003111,188,361,311,75,196,710,5399,154,1,1,1,1,1,9,2,1
S01003112,4613,4115,3740,3421,5668,1864,5961,2962,8,7,6,6,9,10,3,5
S01003113,4792,4662,4458,4694,3888,2975,3832,2335,8,8,7,8,6,6,5,4
S01003114,3639,3210,3408,3149,3454,2048,5439,2299,6,5,6,5,6,9,4,4
S01003115,4267,3374,4793,3946,3795,1316,4964,2040,7,6,8,7,6,8,3,4
S01003116,1738,1676,1969,1250,2218,53,5992,1299,3,3,4,2,4,10,1,2
S01003117,2067,1911,1751,2460,2801,103,4406,2376,4,3,3,4,5,7,1,4
S01003118,1420,1561,2311,1048,627,422,5564,752,3,3,4,2,1,9,1,2
S01003119,3223,3289,3409,3981,2105,924,2688,3094,5,6,6,7,4,5,2,5
S01003120,4965,4961,4443,3894,5032,4309,3632,2671,8,8,7,6,8,6,7,5
S01003121,304,492,421,136,170,403,4791,2016,1,1,1,1,1,8,1,4
S01003122,2091,1734,2015,2059,2203,1230,3977,3702,4,3,4,4,4,7,2,6
S01003123,3730,3369,3343,3333,4175,2726,2648,4538,6,6,6,6,7,5,5,7
S01003124,4208,3994,3493,4040,4039,364,6034,3324,7,7,6,7,7,10,1,6
S01003125,3618,3266,3160,3206,4245,179,5005,4317,6,6,5,5,7,8,1,7
S01003126,1834,1957,2702,1340,718,513,5887,2090,3,4,5,3,2,10,1,4
S01003127,2865,2395,2809,3454,3077,1338,3591,1796,5,4,5,6,5,6,3,3
S01003128,1387,874,1507,1795,1479,331,6426,2520,3,2,3,3,3,10,1,4
S01003129,3436,2777,3068,3240,3746,890,5691,3741,6,5,5,5,6,9,2,6
S01003130,2904,2542,2884,2113,5013,288,6164,870,5,4,5,4,8,10,1,2
S01003131,4037,3101,4374,3717,4150,644,6366,1568,7,5,7,6,7,10,1,3
S01003132,834,609,883,1323,569,196,6180,3798,2,1,2,3,1,10,1,6
S01003133,5099,4431,4890,3109,5906,3045,4616,4364,8,7,8,5,10,8,5,7
S01003134,1010,1042,986,1236,933,279,5191,877,2,2,2,2,2,8,1,2
S01003135,1582,1387,1932,587,2070,765,4845,4411,3,3,3,1,4,8,2,7
S01003136,3519,3220,3588,3168,3057,407,6492,1976,6,5,6,5,5,10,1,4
S01003137,3427,2305,3777,4634,3153,441,6488,1897,6,4,6,8,5,10,1,3
S01003138,1173,1096,1150,830,1430,186,5978,2313,2,2,2,2,3,10,1,4
S01003139,5077,4370,4861,4566,4969,771,6469,2321,8,7,8,8,8,10,2,4
S01003140,88,88,154,108,211,36,5009,627,1,1,1,1,1,8,1,1
S01003141,5305,4143,5044,4132,6386,1183,5775,4051,9,7,8,7,10,9,2,7
S01003142,503,575,511,165,980,129,5560,2226,1,1,1,1,2,9,1,4
S01003143,2586,2687,1807,1519,4484,432,6228,4257,4,5,3,3,7,10,1,7
S01003144,1157,1184,808,1347,1311,429,6003,1901,2,2,2,3,3,10,1,3
S01003145,1528,1303,1387,2099,1998,592,1951,4683,3,3,3,4,4,3,1,8
S01003146,3495,3180,3541,4334,2831,230,6348,1318,6,5,6,7,5,10,1,3
S01003147,1580,1589,1499,832,1987,594,5230,3668,3,3,3,2,4,9,1,6
S01003148,1942,2214,1767,1315,1719,822,4499,3864,3,4,3,3,3,7,2,6
S01003149,3328,2833,2927,3655,3662,221,5426,3542,6,5,5,6,6,9,1,6
S01003150,459,466,312,1139,366,706,4975,1590,1,1,1,2,1,8,2,3
S01003151,2231,2018,2458,1129,3600,1900,4669,1376,4,4,4,2,6,8,3,3
S01003152,1415,1009,1663,776,2365,525,5300,3058,3,2,3,2,4,9,1,5
S01003153,5827,5143,5852,3605,5865,4010,5329,4397,9,8,9,6,10,9,7,7
S01003154,2451,2229,2681,2547,2689,285,6303,713,4,4,5,4,5,10,1,2
S01003155,5630,5465,5357,4587,5336,6173,3302,3466,9,9,9,8,9,6,10,6
S01003156,2774,2375,4640,1550,4261,578,6296,65,5,4,8,3,7,10,1,1
S01003157,2301,2666,3248,1793,1501,330,6342,374,4,5,5,3,3,10,1,1
S01003158,346,304,570,1439,124,1007,1773,502,1,1,1,3,1,3,2,1
S01003159,761,1138,1286,1207,202,410,3101,87,2,2,2,2,1,5,1,1
S01003160,290,241,315,408,675,449,5189,489,1,1,1,1,2,8,1,1
S01003161,1362,1411,1608,791,1151,717,4947,2266,3,3,3,2,2,8,2,4
S01003162,806,1120,469,646,1436,481,3494,3083,2,2,1,1,3,6,1,5
S01003163,5682,4646,5545,5335,6066,2896,5150,2433,9,8,9,9,10,8,5,4
