soa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Environment_decile,Crime_decile
95GG44S1,51,58,105,51,15,854,40,58,1,1,2,1,1,10,1,1
95GG44S2,67,72,133,78,18,848,30,61,1,1,2,1,1,10,1,1
95GG45S1,859,865,860,867,866,390,770,373,10,10,10,10,10,5,9,5
95GG45S2,98,101,74,140,69,686,173,592,2,2,1,2,1,8,2,7
95GG45S3,609,472,543,619,584,599,266,524,7,6,7,7,7,7,3,6
95GG46S1,20,32,16,10,50,743,200,236,1,1,1,1,1,9,3,3
95GG46S2,60,52,58,63,43,762,274,146,1,1,1,1,1,9,4,2
95GG46S3,11,15,3,15,28,823,168,160,1,1,1,1,1,10,2,2
95GG47S1,21,36,25,29,67,876,8,14,1,1,1,1,1,10,1,1
95GG47S2,41,55,28,45,135,855,43,10,1,1,1,1,2,10,1,1
95GG47S3,73,83,69,91,152,863,2,18,1,1,1,2,2,10,1,1
95GG48S1,24,44,11,39,78,866,26,140,1,1,1,1,1,10,1,2
95GG48S2,1,1,1,1,9,777,141,197,1,1,1,1,1,9,2,3
95GG48S3,2,4,2,4,16,831,35,28,1,1,1,1,1,10,1,1
95GG49S1,751,745,856,788,678,832,138,174,9,9,10,9,8,10,2,2
95GG49S2,708,749,843,718,650,821,53,167,8,9,10,9,8,10,1,2
95GG49S3,599,608,839,531,649,840,41,41,7,7,10,6,8,10,1,1
95GG49S4,520,630,757,325,620,852,46,17,6,8,9,4,7,10,1,1
95GG50S1,130,195,279,161,37,819,3,123,2,3,4,2,1,10,1,2
95GG50S2,63,61,95,61,30,825,47,127,1,1,2,1,1,10,1,2
95GG50S3,107,132,276,131,31,829,5,125,2,2,4,2,1,10,1,2
95GG51S1,57,89,44,102,13,850,75,203,1,1,1,2,1,10,1,3
95GG51S2,66,91,61,173,10,867,29,200,1,2,1,2,1,10,1,3
95GG51S3,27,30,43,65,5,841,73,293,1,1,1,1,1,10,1,4
95HH01W1,614,562,627,486,617,308,481,462,7,7,8,6,7,4,6,6
95HH02S1,870,810,850,772,700,637,838,803,10,10,10,9,8,8,10,10
95HH02S2,849,884,778,861,804,334,882,675,10,10,9,10,10,4,10,8
95HH03W1,809,738,676,740,750,699,823,639,10,9,8,9,9,8,10,8
95HH04S1,741,791,636,585,578,485,874,791,9,9,8,7,7,6,10,9
95HH04S2,806,833,761,743,705,422,876,506,10,10,9,9,8,5,10,6
95HH05W1,285,318,375,296,117,688,233,115,4,4,5,4,2,8,3,2
95HH06S1,822,858,829,818,734,265,858,693,10,10,10,10,9,3,10,8
95HH06S2,698,695,582,593,600,414,832,712,8,8,7,7,7,5,10,8
95HH07W1,264,246,233,311,161,668,288,456,3,3,3,4,2,8,4,6
95HH08W1,731,688,704,683,582,507,720,505,9,8,8,8,7,6,9,6
95HH09W1,221,251,213,201,204,730,176,90,3,3,3,3,3,9,2,2
95HH10W1,852,801,816,807,847,450,786,594,10,9,10,10,10,6,9,7
95HH11W1,156,167,180,266,61,545,202,164,2,2,3,3,1,7,3,2
95HH12W1,481,546,396,576,258,409,577,578,6,7,5,7,3,5,7,7
95HH13W1,93,106,117,141,40,683,77,170,2,2,2,2,1,8,1,2
95HH14W1,122,144,97,150,125,728,103,211,2,2,2,2,2,9,2,3
95HH15W1,512,457,526,324,453,708,483,271,6,6,6,4,6,8,6,4
95HH16W1,692,663,648,733,717,365,447,310,8,8,8,9,9,5,6,4
95HH17W1,682,710,647,682,574,263,792,429,8,8,8,8,7,3,9,5
95II01S1,756,783,741,498,814,495,612,549,9,9,9,6,10,6,7,7
95II01S2,829,854,830,785,831,318,732,560,10,10,10,9,10,4,9,7
95II02S1,845,859,773,794,878,417,535,753,10,10,9,9,10,5,7,9
95II02S2,571,497,418,423,773,521,510,469,7,6,5,5,9,6,6,6
95II02S3,560,495,381,496,643,617,369,569,7,6,5,6,8,7,5,7
95II03S1,883,874,878,873,877,411,888,860,10,10,10,10,10,5,10,10
95II03S2,875,864,866,840,845,503,800,640,10,10,10,10,10,6,9,8
95II04S1,772,763,695,588,736,547,765,718,9,9,8,7,9,7,9,9
95II04S2,323,311,295,247,221,621,286,637,4,4,4,3,3,7,4,8
95II05S1,815,814,809,715,872,354,868,444,10,10,10,9,10,4,10,5
95II05S2,672,534,744,473,661,568,736,280,8,6,9,6,8,7,9,4
95II06S1,868,853,824,817,873,421,886,642,10,10,10,10,10,5,10,8
95II06S2,834,768,814,806,806,522,759,424,10,9,10,10,10,6,9,5
95II07W1,201,232,259,227,79,754,86,336,3,3,3,3,1,9,1,4
95II08W1,594,604,512,580,392,677,281,475,7,7,6,7,5,8,4,6
