lad_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent
S12000035,0.048,0.09327303206192959,0.064,0.10671624180983492,0.072,0.12343849025148174,0.008,0.05662856337303021,0.024,0.07869665283506891,0.056,0.09340281821357865,0.008,0.08914754862000697,0.304,0.44441741800641116
S12000036,0.05025125628140704,0.11492667192718427,0.05025125628140704,0.11072233691309216,0.05025125628140704,0.10705405332239787,0.06532663316582915,0.16023086787511517,0.04187604690117253,0.10455758512162523,0.12060301507537688,0.25024714072151977,0.2646566164154104,0.4277683390366836,0.005025125628140704,0.0613147768073337
S12000038,0.14666666666666667,0.2432180052308325,0.12,0.23880426988744893,0.1688888888888889,0.2518659084898175,0.057777777777777775,0.17382307737517996,0.16,0.2885272120838108,0.1111111111111111,0.20645788885950217,0.07111111111111111,0.22704549061094945,0.022222222222222223,0.17017314643392398
S12000039,0.17355371900826447,0.3770793705279729,0.2066115702479339,0.37596255481839647,0.17355371900826447,0.3792671350026928,0.14049586776859505,0.27549864766492865,0.1652892561983471,0.3901254386951298,0.10743801652892562,0.21625133901886168,0.024793388429752067,0.20431048666307622,0.03305785123966942,0.22423556078997675
S12000040,0.04602510460251046,0.1623255051884216,0.04184100418410042,0.15685965391359336,0.06276150627615062,0.16430890511368534,0.04184100418410042,0.17304905286153668,0.08368200836820083,0.2059453275460634,0.0794979079497908,0.17560611112708038,0,0.04231478340854867,0.02510460251046025,0.143890870677513
S12000041,0.012903225806451613,0.08599635383639821,0.01935483870967742,0.10107656943563727,0.03225806451612903,0.11427328109430201,0.025806451612903226,0.08415375033970468,0.0064516129032258064,0.03691679499954705,0.0967741935483871,0.16199189238155629,0,0.05025172117039586,0.2064516129032258,0.30404715101005525
S12000042,0.2393617021276596,0.3703220388568528,0.23404255319148937,0.37016809536565765,0.22340425531914893,0.3604536530517292,0.2553191489361702,0.3946809571813273,0.2127659574468085,0.35809765674566807,0.13297872340425532,0.3265958485485076,0.21808510638297873,0.43135514331636754,0.010638297872340425,0.057435867159191835
S12000045,0.023076923076923078,0.05438294512053329,0.023076923076923078,0.06747945895667001,0.03076923076923077,0.08273404193473373,0,0.01676178203240059,0.03076923076923077,0.09066785036043717,0.015384615384615385,0.06735926478567553,0.007692307692307693,0.045085652275017436,0.023076923076923078,0.18501552689713974
S12000047,0.07894736842105263,0.19188458530880806,0.08097165991902834,0.18684619123769805,0.08704453441295547,0.20218816617235766,0.11133603238866396,0.21072762752819674,0.05465587044534413,0.16664347758702067,0.0931174089068826,0.17790983381355274,0.010121457489878543,0.04291393387766028,0.06072874493927125,0.18113692241579724
S12000048,0.016129032258064516,0.05864245510122789,0.016129032258064516,0.054230061827817325,0.010752688172043012,0.05312826241318993,0.04838709677419355,0.1048684643494224,0.005376344086021506,0.045390710240556964,0.05913978494623656,0.07141997887116606,0.03763440860215054,0.08416052718172529,0.20430107526881722,0.368455153184046
S12000049,0.3042895442359249,0.4339056867908969,0.3203753351206434,0.45091446453985606,0.29222520107238603,0.4171154798957211,0.2158176943699732,0.36188131791761435,0.33378016085790885,0.4578684800752829,0.17158176943699732,0.3613231091137624,0.4718498659517426,0.6987372228429299,0,0.031064032926326424
S12000050,0.1342281879194631,0.311260424327362,0.12080536912751678,0.2827336059191832,0.10738255033557047,0.2722306788590247,0.21476510067114093,0.33896558449467545,0.14541387024608501,0.34787016865478576,0.12751677852348994,0.2522304938460044,0.03803131991051454,0.20585664882832794,0.03131991051454139,0.17975222902145072
