soa11_name,soa11_code,lgd14_name,lgd14_code,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
Garvagh,95JJ10W1,Causeway Coast and Glens,N09000004,0.320602238178253,335,34.9872856140137,464,26.8735656738281,617,45.1409492492676,622,FALSE
Hopefield_1,95JJ11S1,Causeway Coast and Glens,N09000004,0.437724411487579,291,32.7880973815918,482,28.4474563598633,582,48.7361030578613,585,FALSE
Hopefield_2,95JJ11S2,Causeway Coast and Glens,N09000004,0.696374356746674,181,91.0003814697266,87,49.9683799743652,304,110.95108795166,76,FALSE
Kilrea,95JJ12W1,Causeway Coast and Glens,N09000004,0.54700767993927,245,31.9758148193359,492,31.4629554748535,530,54.1913719177246,518,FALSE
Knocklynn_1,95JJ13S1,Causeway Coast and Glens,N09000004,0.263552814722061,360,40.7839775085449,408,28.8192901611328,571,48.1728553771973,589,FALSE
Knocklynn_2,95JJ13S2,Causeway Coast and Glens,N09000004,0.278659045696259,351,44.1770172119141,373,23.5233764648438,673,47.0299453735352,593,FALSE
Macosquin,95JJ14W1,Causeway Coast and Glens,N09000004,0.185104727745056,398,27.0166969299316,550,25.8715858459473,629,37.0247192382813,722,FALSE
Mount_Sandel,95JJ15W1,Causeway Coast and Glens,N09000004,-1.25638031959534,844,61.5043334960938,225,18.88450050354,750,36.0047149658203,739,FALSE
Portstewart,95JJ16W1,Causeway Coast and Glens,N09000004,-0.250221937894821,566,120.690521240234,24,20.8226356506348,725,89.9074859619141,170,FALSE
Ringsend,95JJ17W1,Causeway Coast and Glens,N09000004,0.672076880931854,195,17.8650608062744,664,35.5576095581055,464,55.4223098754883,504,FALSE
Royal_Portrush,95JJ18W1,Causeway Coast and Glens,N09000004,-0.01164910197258,470,54.4697380065918,282,16.9211502075195,779,43.3993492126465,650,FALSE
Strand_1_(Coleraine_LGD),95JJ19S1,Causeway Coast and Glens,N09000004,-0.106704883277416,508,49.898868560791,332,14.1376342773438,815,36.9962882995605,723,FALSE
Strand_2_(Coleraine_LGD),95JJ19S2,Causeway Coast and Glens,N09000004,-0.267251491546631,575,110.389846801758,39,65.4306945800781,174,113.072296142578,69,FALSE
The_Cuts_1,95JJ20S1,Causeway Coast and Glens,N09000004,-0.381074726581574,614,32.232292175293,488,29.2236557006836,563,32.4653663635254,775,FALSE
The_Cuts_2,95JJ20S2,Causeway Coast and Glens,N09000004,0.0505539886653423,439,78.5356903076172,129,79.3380737304688,95,108.208976745605,87,FALSE
University,95JJ21W1,Causeway Coast and Glens,N09000004,-0.967636942863464,791,47.2188224792481,351,14.1320171356201,816,25.7122592926025,840,FALSE
Waterside,95JJ22W1,Causeway Coast and Glens,N09000004,-0.898234069347382,777,50.3137512207031,325,22.8952445983887,689,31.6697540283203,789,FALSE
Ardboe,95KK01W1,Mid Ulster,N09000009,1.14298045635223,53,13.7442903518677,724,39.6437683105469,413,83.0477066040039,225,FALSE
Coagh,95KK02W1,Mid Ulster,N09000009,0.25331062078476,365,16.36741065979,687,35.0014533996582,476,40.2206115722656,690,FALSE
Dunnamore,95KK03W1,Mid Ulster,N09000009,1.89272677898407,2,5.86422920227051,837,86.830696105957,69,155.336380004883,13,FALSE
Gortalowry,95KK04W1,Mid Ulster,N09000009,1.00402307510376,77,16.2744674682617,688,31.8247585296631,522,71.5798187255859,328,FALSE
Killycolpy,95KK05W1,Mid Ulster,N09000009,1.58213973045349,5,7.31701421737671,825,120.294692993164,11,180.724792480469,3,FALSE
Killymoon,95KK06W1,Mid Ulster,N09000009,0.650156497955322,202,50.3974075317383,323,50.4185028076172,299,80.6701583862305,238,FALSE
Lissan,95KK07W1,Mid Ulster,N09000009,0.865919470787048,111,5.85199165344238,838,33.8608283996582,492,60.9013862609863,441,FALSE
Moneymore,95KK08W1,Mid Ulster,N09000009,0.400540113449097,308,12.6632747650147,737,88.7272415161133,61,86.4722442626953,195,FALSE
Newbuildings,95KK09W1,Mid Ulster,N09000009,0.229068234562874,375,39.7931327819824,417,32.6604385375977,510,49.3193664550781,576,FALSE
Oaklands,95KK10W1,Mid Ulster,N09000009,1.46797847747803,7,7.18858098983765,827,76.6762924194336,106,139.181045532227,23,FALSE
Oldtown,95KK11W1,Mid Ulster,N09000009,-0.112705416977406,513,30.0230293273926,513,29.4572868347168,561,35.4769554138184,746,FALSE
Pomeroy,95KK12W1,Mid Ulster,N09000009,1.1540619134903,49,13.783595085144,723,31.8563442230225,521,79.3488922119141,249,FALSE
Sandholes,95KK13W1,Mid Ulster,N09000009,0.54439127445221,246,9.96441745758057,777,38.603385925293,426,48.6847152709961,586,FALSE
Stewartstown,95KK14W1,Mid Ulster,N09000009,0.580578207969666,229,15.7398777008057,696,36.7123756408691,453,51.3768768310547,547,FALSE
The_Loop,95KK15W1,Mid Ulster,N09000009,0.715563893318176,175,4.90484762191773,851,33.1729011535645,500,50.4669570922852,563,FALSE
Tullagh,95KK16W1,Mid Ulster,N09000009,0.00265911966562271,463,29.2011585235596,518,31.3251876831055,533,38.7215576171875,702,FALSE
Aghagallon_1,95LL01S1,"Armagh City, Banbridge and Craigavon",N09000002,0.274267375469208,353,14.5232734680176,713,15.7608776092529,793,28.588752746582,824,FALSE
Aghagallon_2,95LL01S2,"Armagh City, Banbridge and Craigavon",N09000002,0.18864107131958,396,5.67020320892334,839,41.9405975341797,384,38.6829147338867,703,FALSE
Annagh_1,95LL02S1,"Armagh City, Banbridge and Craigavon",N09000002,0.0667605698108673,432,20.8442115783691,622,22.4678745269775,695,30.1492786407471,805,FALSE
Annagh_2,95LL02S2,"Armagh City, Banbridge and Craigavon",N09000002,-1.09758853912354,816,73.3867645263672,153,14.4443302154541,812,43.354305267334,652,FALSE
Ballybay,95LL03W1,"Armagh City, Banbridge and Craigavon",N09000002,0.154227033257484,405,45.6919860839844,363,58.4744606018067,225,68.9330978393555,354,FALSE
Ballyoran,95LL04W1,"Armagh City, Banbridge and Craigavon",N09000002,0.027738057076931,453,27.5932388305664,543,34.2626647949219,487,40.1829643249512,691,FALSE
Bleary_1,95LL05S1,"Armagh City, Banbridge and Craigavon",N09000002,0.398931741714478,311,11.8736543655396,748,48.7825241088867,313,51.243034362793,550,FALSE
Bleary_2,95LL05S2,"Armagh City, Banbridge and Craigavon",N09000002,0.890097737312317,103,17.2160263061523,675,49.0414390563965,310,77.7102890014649,267,FALSE
Brownstown_1,95LL06S1,"Armagh City, Banbridge and Craigavon",N09000002,-0.107817269861698,509,27.7604484558105,540,48.3674659729004,316,47.368278503418,591,FALSE
Brownstown_2,95LL06S2,"Armagh City, Banbridge and Craigavon",N09000002,-0.197875797748566,547,54.2638931274414,286,28.3533458709717,587,46.0769157409668,603,FALSE
Church,95LL07W1,"Armagh City, Banbridge and Craigavon",N09000002,-0.0118454173207283,471,84.2388763427734,109,20.499153137207,729,65.425895690918,391,FALSE
Corcrain_1,95LL08S1,"Armagh City, Banbridge and Craigavon",N09000002,-0.579762816429138,659,75.1886672973633,148,57.0870590209961,236,76.6162948608399,280,FALSE
Corcrain_2,95LL08S2,"Armagh City, Banbridge and Craigavon",N09000002,-0.746559262275696,721,56.3244934082031,261,42.5914001464844,375,51.9311599731445,539,FALSE
Court_1,95LL09S1,"Armagh City, Banbridge and Craigavon",N09000002,-0.81161493062973,749,72.6151657104492,155,12.338397026062,832,44.466480255127,632,FALSE
Court_2,95LL09S2,"Armagh City, Banbridge and Craigavon",N09000002,-0.68264102935791,691,123.067428588867,22,22.1390228271484,702,87.4924621582031,187,FALSE
Derrytrasna_1,95LL10S1,"Armagh City, Banbridge and Craigavon",N09000002,0.124007284641266,419,7.46685123443604,822,51.2249450683594,287,44.3700065612793,634,FALSE
Derrytrasna_2,95LL10S2,"Armagh City, Banbridge and Craigavon",N09000002,0.407330811023712,305,29.5337562561035,516,20.1780014038086,732,40.9686164855957,682,FALSE
Donaghcloney_1,95LL11S1,"Armagh City, Banbridge and Craigavon",N09000002,0.708141446113586,177,14.3045129776001,718,17.144983291626,775,44.1677169799805,638,FALSE
Donaghcloney_2,95LL11S2,"Armagh City, Banbridge and Craigavon",N09000002,1.69037401676178,4,4.93174314498901,850,28.4308624267578,583,105.417907714844,100,FALSE
Drumgask_1,95LL12S1,"Armagh City, Banbridge and Craigavon",N09000002,0.256085693836212,364,42.7148284912109,390,31.1445922851563,534,50.4483795166016,564,FALSE
Drumgask_2,95LL12S2,"Armagh City, Banbridge and Craigavon",N09000002,-0.71510910987854,707,70.6201019287109,167,34.4160232543945,485,56.3715705871582,493,FALSE
Drumgor_1,95LL13S1,"Armagh City, Banbridge and Craigavon",N09000002,-0.657349467277527,684,21.3569393157959,614,38.4765853881836,427,31.0645885467529,795,FALSE
Drumgor_2,95LL13S2,"Armagh City, Banbridge and Craigavon",N09000002,-0.636772990226746,679,50.7956466674805,320,16.6095504760742,783,32.171501159668,781,FALSE
Drumnamoe_1,95LL14S1,"Armagh City, Banbridge and Craigavon",N09000002,-0.038089245557785,482,88.3046188354492,94,18.4931240081787,754,67.2224884033203,371,FALSE
Drumnamoe_2,95LL14S2,"Armagh City, Banbridge and Craigavon",N09000002,0.143160328269005,412,53.3889541625977,298,25.0750389099121,644,49.4448699951172,575,FALSE
Edenderry_1,95LL15S1,"Armagh City, Banbridge and Craigavon",N09000002,-0.961903750896454,789,56.5759658813477,258,17.8773422241211,765,34.0711936950684,760,FALSE
Edenderry_2,95LL15S2,"Armagh City, Banbridge and Craigavon",N09000002,0.0155512988567352,457,27.6408271789551,541,42.1476516723633,382,45.5189666748047,614,FALSE
Kernan_1,95LL16S1,"Armagh City, Banbridge and Craigavon",N09000002,0.00688673555850982,460,20.4170074462891,633,73.6263961791992,121,66.956672668457,377,FALSE
Kernan_2,95LL16S2,"Armagh City, Banbridge and Craigavon",N09000002,0.675841450691223,194,9.36752605438232,790,13.135311126709,824,38.6144714355469,705,FALSE
Killycomain,95LL17W1,"Armagh City, Banbridge and Craigavon",N09000002,0.319499313831329,336,37.8157615661621,436,34.1419372558594,489,51.7185211181641,542,FALSE
Knocknashane_1,95LL18S1,"Armagh City, Banbridge and Craigavon",N09000002,0.245011642575264,368,40.1425933837891,414,27.2637119293213,607,45.973258972168,608,FALSE
Knocknashane_2,95LL18S2,"Armagh City, Banbridge and Craigavon",N09000002,0.487730830907822,272,22.7294521331787,600,35.9479560852051,461,50.5461196899414,562,FALSE
