lsoa_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_score,Income_score,Employment_score,Education_score,Health_score,Crime_score,Housing_score,Access_score,Environment_score
W01000070,7,7,8,9,8,2,1,7,9,1177,1269,1503,1569,1344,296,135,1316,1590,14.28945271,9.260285678,5.434511829,7.963453038,4.4612999,4.160082568,41.37658934,57.46198864,8.439092028
W01000071,6,5,6,6,7,2,3,10,7,957,781,981,961,1286,356,438,1831,1148,17.86607465,20.15930613,15.05568638,8.959862582,15.51800592,11.52008412,37.42421853,32.93034005,0.959222862
W01000072,8,7,7,9,9,3,6,10,7,1502,1259,1151,1696,1711,554,985,1889,1309,9.233676295,9.438855743,11.46128644,2.497386376,2.69709631,8.559554732,27.77829652,14.96432726,0.251105122
W01000073,8,8,8,8,8,4,2,8,9,1375,1393,1480,1394,1502,583,271,1430,1609,11.39290422,7.154043266,5.783574489,5.449578816,7.137817702,3.890910657,26.65236431,43.24743971,6.561192379
W01000074,7,6,7,7,7,6,2,8,9,1254,1115,1310,1284,1215,1073,237,1477,1605,13.34939049,12.176978,8.542307098,10.24146447,8.995003481,3.947317234,13.04110997,46.06373789,5.829497466
W01000075,4,5,6,4,4,2,3,9,2,753,827,1061,739,638,315,484,1555,376,21.66305041,18.88122475,13.29408765,24.65747007,21.39171814,36.24452211,40.05003548,30.74733278,4.664325612
W01000076,6,7,8,9,4,2,7,10,1,1132,1287,1394,1596,659,208,1155,1892,133,14.95112984,8.942312247,7.137817702,23.93921351,4.074740103,57.75310172,48.77256806,11.38312263,0.21506468
W01000077,5,6,8,6,5,1,6,1,3,938,1051,1347,1129,919,155,1013,176,480,18.23049326,13.50704892,7.913070266,16.52022221,11.8960012,30.92914605,54.73717535,14.33477698,52.18596948
W01000078,5,4,6,7,6,2,1,10,7,800,707,1030,1278,967,273,138,1756,1301,20.76239683,22.37712177,13.96079083,15.37833169,9.100749472,8.698003413,43.09204228,57.03211327,1.908454971
W01000079,6,7,8,8,6,1,1,8,10,1018,1207,1469,1450,1047,109,142,1444,1838,16.75303375,10.39045088,5.952408911,13.59278863,6.246983343,0.872594518,61.56829417,56.47116564,6.340796165
W01000080,8,6,8,10,7,4,2,10,7,1355,1072,1424,1732,1320,642,376,1852,1286,11.6668061,13.06208549,6.656298268,8.370538414,2.22067408,8.959862582,24.51891883,36.24452211,0.700310571
W01000081,7,6,8,7,9,3,3,7,4,1260,1003,1473,1189,1538,457,560,1319,742,13.2746934,14.55764342,5.890871084,4.913290755,10.72924135,21.30146488,32.00341741,27.54077956,8.387657671
W01000082,6,7,8,8,7,1,1,7,9,991,1291,1498,1380,1323,181,48,1309,1629,17.22353322,8.872244518,5.509945658,8.319256963,7.366023882,3.610934325,51.61808514,75.68061415,8.559554732
W01000083,7,9,10,10,10,1,1,9,8,1162,1547,1775,1767,1811,23,105,1546,1516,14.56516423,4.78115005,1.664252612,1.208545592,1.766758814,5.239533929,85.48776945,62.27055137,4.795794916
W01000084,8,9,9,10,8,2,1,9,10,1378,1549,1706,1846,1495,241,164,1650,1733,11.34056975,4.751888263,2.563763864,5.555324996,0.773988583,2.20757998,45.71394296,53.60898405,3.320581648
W01000085,4,5,4,6,6,3,1,5,7,725,821,709,1142,1133,544,96,896,1170,22.27379534,19.04395814,22.3142816,11.81634856,11.63813235,11.09235157,28.17969145,63.93370851,17.08814235
W01000086,4,5,7,7,7,1,1,7,5,748,860,1149,1267,1238,67,100,1251,922,21.80055826,18.00620772,11.50046819,9.818427272,9.295888951,16.44716888,70.29525386,63.17964342,9.582716769
W01000087,9,7,9,6,9,7,9,10,8,1634,1329,1559,1017,1558,1247,1602,1909,1465,6.981046713,8.217035808,4.606135163,4.620668979,14.24623158,6.014111828,9.654986131,3.989713134,0.011895426
W01000088,6,6,7,8,8,3,1,6,8,1046,1092,1254,1435,1437,388,116,1020,1513,16.25551958,12.64616709,9.528663381,6.450730281,6.482236783,5.284382346,35.56469698,60.38868941,14.18004552
W01000089,6,8,9,8,8,1,1,7,8,1102,1475,1589,1485,1460,54,152,1273,1339,15.4597186,5.860163804,4.17433715,6.091473985,5.707239367,8.047670361,73.84003257,55.12588128,9.189244045
W01000090,2,1,4,2,2,6,2,10,3,300,184,589,199,227,1136,366,1875,531,37.08558058,51.28396522,26.42613903,46.9622324,49.68251161,28.71220199,11.75678959,36.82680765,0.420044625
W01000091,1,1,1,1,2,8,4,10,1,167,165,131,98,313,1459,639,1903,64,46.14401923,53.48697841,58.04794672,40.18612398,63.55358581,71.06613527,6.106977691,24.62275393,0.08339747
W01000092,9,10,10,10,10,1,5,10,6,1566,1897,1903,1761,1868,60,768,1895,1044,8.194470375,0.155122492,0.08339747,0.504982001,1.84393939,13.65730382,72.13589267,20.53375885,0.179080624
W01000093,8,8,6,7,9,6,7,10,2,1454,1435,1082,1321,1671,1138,1187,1836,255,10.09983002,6.482236783,12.85318615,3.033848743,8.35343189,44.529929,11.71716912,10.76719464,0.897312197
W01000094,9,7,8,10,9,5,6,9,8,1574,1191,1351,1763,1658,859,976,1628,1449,8.074157652,10.69135058,7.84606446,3.210928156,1.818183744,6.262592264,18.03224006,15.17039797,3.624852494
W01000095,8,6,7,8,7,6,7,10,7,1481,1099,1309,1405,1177,1097,1184,1830,1311,9.6470338430000009,12.50235451,8.559554732,10.95790626,6.960087909,8.525072388,12.54335214,10.82424227,0.971625018
W01000096,5,4,5,5,6,6,4,7,3,900,719,799,870,1143,1046,595,1291,520,18.92788807,22.0026306,19.65069609,11.61841552,17.74749208,29.17262226,13.61427359,26.20211722,8.872244518
W01000097,5,4,4,5,7,4,7,8,3,901,752,585,842,1171,682,1307,1521,551,18.92468622,21.00315314,26.57670838,11.07309692,18.47935844,27.89798118,23.17746271,8.59408885,5.164980357
W01000098,1,1,1,2,1,4,2,10,2,155,105,186,277,148,620,332,1905,204,47.26735023,62.27055137,51.06388502,55.65459063,42.78436216,49.17254978,25.29149131,38.92468398,0.059538749
W01000099,8,7,8,7,10,5,2,10,8,1349,1216,1381,1316,1754,793,227,1794,1521,11.8155621,10.22290884,7.349648137,1.93431196,8.439092028,5.164980357,19.81898618,46.9622324,1.422615853
W01000100,8,7,9,9,8,4,1,9,9,1395,1309,1648,1700,1372,734,181,1657,1574,11.11637791,8.559554732,3.3480769,7.49745128,2.643670543,4.389222859,21.54293175,51.61808514,3.224606287
W01000101,8,7,7,6,6,3,5,10,7,1338,1285,1333,1058,1088,473,909,1833,1219,11.97272326,8.97742632,8.149139897,12.72875125,13.35776925,10.16733162,31.25081913,16.76542283,0.934438594
