Data Zone,Local Authority Code,Local Authority Name,Intermediate Geography name,Nearest settlement*,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Overall SIMD 2012 Rank,Income domain 2012 rate (%),Number of Income Deprived People 2012,Income domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,Employment domain 2012 rank,Health domain 2012 score,Health domain 2012 rank,"Education, Skills and Training domain 2012 score","Education, Skills and Training domain 2012 rank","Housing domain score 2004, 2006, 2009 & 2012","Housing domain rank 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,Geographic Access domain 2012 rank,SIMD Crime 2012 score,SIMD Crime 2012 rank,Decile,Quintile,Vigintile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000035,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,"1,032",660,18.63,"2,969",10,100,"3,717",9,65,"3,691",0.11,"2,905",0.87,"1,156",16.95,"2,972",15.63,"3,316",641,"1,233",5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000036,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,673,435,30.19,"1,585",16,110,"2,245",15,70,"2,211",0.79,"1,217",1.21,552,18.23,"2,670",24.15,"2,172",465,"1,986",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000037,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,702,428,22.44,"2,382",12,85,"3,059",12,50,"2,934",0.44,"2,035",0.45,"2,112",21.33,"2,047",17.91,"2,958",1234,279,4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000038,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,771,502,16.76,"3,264",10,80,"3,554",10,50,"3,414",0.27,"2,465",0.30,"2,461",19.67,"2,361",12.07,"3,931",440,"2,131",6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000039,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,870,566,21.42,"2,536",11,95,"3,315",11,65,"3,155",0.58,"1,678",0.46,"2,103",23.78,"1,708",37.26,"1,154",267,"3,429",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000040,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,871,525,19.05,"2,909",10,90,"3,490",13,65,"2,849",0.54,"1,758",0.47,"2,086",21.34,"2,045",2.58,"5,930",529,"1,688",5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000041,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,763,425,13.58,"3,925",9,70,"3,834",10,45,"3,627",0.23,"2,592",-0.16,"3,588",6.53,"5,624",12.33,"3,883",239,"3,712",7,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000042,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,788,555,22.01,"2,431",11,85,"3,436",14,75,"2,465",0.78,"1,234",0.77,"1,360",16.20,"3,161",5.47,"5,270",366,"2,612",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000043,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,770,520,14.98,"3,619",12,95,"3,098",7,35,"4,628",0.47,"1,958",-0.21,"3,750",18.28,"2,651",6.16,"5,143",600,"1,379",6,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000044,100,Aberdeen City,Aberdeen City - Garthdee,Aberdeen,838,509,33.07,"1,350",21,180,"1,407",16,85,"2,031",1.25,486,0.80,"1,284",25.05,"1,582",9.59,"4,401",626,"1,281",3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000045,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,575,339,4.37,"6,084",2,10,"6,347",2,5,"6,436",-0.88,"5,471",-1.37,"6,115",4.82,"5,936",34.11,"1,343",94,"5,518",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000046,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,746,404,4.08,"6,159",1,10,"6,402",1,5,"6,454",-0.89,"5,492",-1.88,"6,436",1.70,"6,414",32.90,"1,420",132,"5,019",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000047,100,Aberdeen City,Aberdeen City - Ferryhill South,Aberdeen,749,515,15.50,"3,501",11,80,"3,430",9,50,"3,768",0.15,"2,808",0.22,"2,667",29.56,"1,152",10.79,"4,177",312,"3,054",6,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000048,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,914,605,3.76,"6,233",1,10,"6,455",2,10,"6,404",-0.99,"5,679",-1.63,"6,317",6.59,"5,608",28.08,"1,754",156,"4,691",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000049,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,723,408,4.42,"6,066",3,25,"5,849",2,10,"6,408",-0.30,"4,056",-1.59,"6,293",3.93,"6,105",22.19,"2,406",,"6,487",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000050,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",Aberdeen,685,387,5.75,"5,744",5,30,"5,342",4,15,"5,633",-0.26,"3,935",-1.20,"5,933",5.95,"5,723",12.46,"3,863",220,"3,905",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000051,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",Aberdeen,807,420,3.71,"6,245",2,15,"6,375",2,10,"6,369",-0.97,"5,634",-1.51,"6,253",3.30,"6,210",28.14,"1,750",98,"5,469",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000052,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,591,379,44.53,700,28,165,686,21,80,"1,272",1.58,217,1.12,687,26.14,"1,457",15.06,"3,404",590,"1,429",2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000053,100,Aberdeen City,Aberdeen City - Ferryhill South,Aberdeen,"1,055",667,8.83,"4,991",7,75,"4,476",4,25,"5,902",0.36,"2,250",-0.80,"5,286",12.33,"4,248",12.84,"3,794",210,"4,011",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000054,100,Aberdeen City,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",Aberdeen,785,402,4.40,"6,071",3,25,"5,962",1,5,"6,479",-0.09,"3,472",-1.60,"6,297",3.86,"6,122",17.79,"2,984",68,"5,864",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000055,100,Aberdeen City,Aberdeen City - Torry West,Aberdeen,792,468,37.07,"1,103",24,190,"1,047",20,95,"1,396",1.12,644,0.91,"1,058",23.07,"1,794",5.13,"5,342",827,742,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
