dz11_code,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01009129,496,340,0.28,138,0.21,72,190,63.08084787,104.8960639,162.2452282,0.225140713,0.166666667,125.3564097,0.63889000000000007,5.4666666667000001,186.6292542,0.0375,0.02,2.428549383,2.846116255,5.8175668719999996,3.037310924,3.305066872,6.805424528,10.5298251,15.6448251,9.886399177,0,27.652334152334149,557.50673694222075,70,4,0.144032922,0.008230453
S01009130,629,417,0.13,82,0.11,47,120,111.9857313,61.79413862,107.3220911,0.2,0.181818182,123.5903789,0.75224999999999997,5,118.81640199999998,0.1,0.035294,1.845249622,2.264606657,5.193967474,2.630883621,2.723071104,6.290614754,10.5611649,16.35709909,9.837337368,0,13.314086814086814,211.67069656735794,62,4,0.093797277,0.006051437
S01009131,484,315,0.15,75,0.16,49,130,67.04801364,164.3199652,121.0862107,0.229038855,0.058823529,98.27406683,0.76056000000000001,4.625,127.8167037,0.075,0,2.392074689,2.773112033,4.520072614,1.751382979,2.698029046,5.160675676,9.020352697,14.34621369,7.078775934,0,30.72481572481572,634.81024224825865,64,17,0.132780083,0.03526971
S01009132,825,585,0.1,83,0.06,35,70,48.56636772,79.78246357,46.42414085,0.150121065,0,86.40398722,0.87754999999999994,5.3666666666999996,67.1852354,0.047244094,0.091549,1.301976886,1.632904501,4.434108881,3.051469072,2.439437348,5.377580645,6.572536496,11.4064264,6.908351582,0,19.459049959049956,235.86727223090855,33,8,0.040145985,0.00973236
S01009133,753,510,0.25,186,0.2,100,185,197.7675734,231.0450495,148.582915,0.262734585,0.078947368,157.9609823,0.69333,5.3478260869999996,131.8440495,0.070422535,0.06,3.158747795,2.969329806,3.800026455,1.672295918,3.274325397,3.352964602,9.207310406,16.44990741,8.932663139,0.00203666,148.503276003276,1972.1550598044621,74,5,0.130511464,0.008818342
S01009134,874,559,0.1,88,0.08,45,80,41.61428371,102.083719,69.09295564,0.173814898,0.03030303,88.17274741,0.75,5.7857142857000001,55.55598369,0.090909091,0.046512,2.754796196,2.422154891,3.653622283,2.746206897,2.881480978,4.593722628,8.092945652,11.1075788,5.246782609,0,20.483210483210481,234.36167600927322,55,9,0.059782609,0.009782609
S01009135,532,431,0.06,30,0.07,28,65,20.34471283,103.3120815,59.80029829,0.141544118,0.157894737,75.26480132,0.92188000000000003,6.1904761905000001,65.60322214,0.04,0.095588,1.788212389,1.141884956,3.81309292,2.905171429,2.595061947,4.583454545,5.545849558,16.2510708,10.98839823,0,36.86977886977887,693.04095619885095,39,1,0.069026549,0.001769912
S01009136,872,501,0.04,38,0.03,16,85,24.3381747,17.21486591,181.6327602,0.254587156,0,76.49729043,0.77332999999999996,5.8076923077,62.16051528999999,0.00877193,0.078788,1.870526992,1.182281491,4.114836118,3.355849515,2.75809126,5.055238095,4.819254499,15.83996144,10.93929306,0,7.1691236691236684,82.214720976188858,19,1,0.027496382,0.001447178
S01009137,804,562,0.04,30,0.02,10,45,22.31175477,48.26138033,56.1935523,0.106958763,0.021276596,77.77114429,0.90034000000000003,5.9428571429000003,38.80459256,0.008403361,0.142857,3.017950487,2.289257305,4.620231331,3.680740741,3.906988636,5.4135,11.97001623,21.71626623,17.08250812,0,*,*,8,0,0.012987013,0
S01009138,887,607,0.05,40,0.04,27,55,67.44558018,73.96482932,84.21491219,0.167808219,0.033333333,76.50279178,0.88108000000000009,5.6666666667000003,58.556374,0.025974026,0.083333,1.725978513,1.229355401,4.632697445,3.867916667,2.526820557,5.996153846,3.574819977,12.1465302,7.368289779,0.00456621,21.507371007371006,242.47317933901923,44,7,0.051103368,0.008130081
