lsoa_code,Education_decile,Children_and_young_people_decile,Adult_skills_decile,Housing_and_Access_decile,Geographical_barriers_decile,Wider_barriers_decile,Environment_decile,Indoors_decile,Outdoors_decile,Education_rank,Children_and_young_people_rank,Adult_skills_rank,Housing_and_Access_rank,Geographical_barriers_rank,Wider_barriers_rank,Environment_rank,Indoors_rank,Outdoors_rank
E01009736,7,8,6,10,8,9,4,4,5,21661,23113,18997,32174,24296,29546,12981,10404,14781
E01009737,5,7,4,9,4,9,5,4,6,16380,20893,12231,26516,13025,28445,15880,12390,17872
E01009738,4,6,3,8,5,8,3,2,8,11326,16513,7657,26182,14194,25461,9660,5696,23381
E01009739,4,5,3,10,7,8,2,2,6,11394,15299,8362,29656,21142,23392,5710,3649,19180
E01009740,2,1,2,6,4,6,1,1,5,3479,3166,4034,17141,10150,18610,1198,880,16283
E01009741,2,3,1,8,8,4,4,3,5,4546,7059,2963,24416,24104,13109,10965,8381,14856
E01009742,2,2,2,5,4,6,2,2,7,3878,3831,4176,16220,9935,17755,6272,3821,20971
E01009743,1,1,1,6,5,5,3,2,5,670,2123,421,18874,14403,14914,8752,6423,15075
E01009744,3,4,3,8,7,5,3,2,6,8358,10514,6694,25440,21630,15816,6632,4395,18080
E01009745,6,7,5,8,4,9,2,1,6,18756,20285,16355,23420,10284,28398,3692,2530,17419
E01009746,2,3,1,8,6,5,1,1,7,4331,6639,2897,24256,19453,16076,721,418,21128
E01009747,2,1,2,8,5,6,1,1,6,3651,3206,4445,23185,15433,18699,2181,1417,19066
E01009748,1,1,1,7,5,6,3,2,5,1241,1496,1694,21612,15620,16667,7512,5562,14542
E01009749,4,5,3,9,5,10,3,2,6,11457,13571,9589,27481,13248,30299,8963,5837,18932
E01009750,2,3,1,6,3,7,7,5,7,4236,6615,2795,18684,9219,22856,20088,15700,22289
E01009751,2,3,1,10,8,7,2,2,7,4391,6868,2852,30722,25999,21537,5635,3509,20216
E01009752,1,1,1,7,4,6,5,4,7,827,1440,986,20010,12382,18718,14505,10060,20992
E01009753,1,1,1,7,6,5,6,4,8,1276,2120,1219,21898,16714,15873,18048,12864,24053
E01009754,1,1,1,6,3,8,4,3,5,2956,2980,3243,18772,8810,24043,10997,8171,15709
E01009756,1,1,1,9,8,6,4,3,6,1577,2176,1601,29309,25459,18725,11873,8712,16795
E01009757,2,2,2,8,5,7,2,2,3,5308,4771,6002,23992,13487,22717,4558,4240,9775
E01009758,1,1,1,10,9,7,4,2,7,2105,2693,2067,30952,27317,21220,10458,6492,21921
E01009759,5,8,3,7,3,9,5,4,6,15460,24180,9390,22189,9294,28821,15878,12858,16602
E01009760,2,3,2,7,4,8,2,1,7,5259,7133,3920,22259,11634,23261,3985,2478,20635
E01009762,1,1,1,9,10,5,6,5,6,39,279,87,28550,31219,14159,16740,13144,18430
E01009763,1,1,1,9,7,7,6,5,6,2590,2725,2823,28855,19924,22900,17895,14369,18843
E01009764,4,5,3,9,5,9,2,1,5,10924,13653,8642,28999,15798,29246,4336,3121,15873
E01009765,3,4,3,10,7,9,3,3,5,8725,10793,7071,31236,22813,26548,9351,6836,15350
E01009766,2,3,2,10,8,8,6,5,5,5746,7147,4678,31321,23552,26049,17110,15189,14718
E01009767,2,3,2,10,8,8,4,3,6,5355,7979,3620,31024,23857,24557,13054,9455,18091
E01009768,3,3,3,9,6,8,2,2,3,7589,7904,7388,28261,16464,26187,4284,4415,8169
E01009769,1,1,1,8,7,6,2,2,3,1654,2242,1668,25737,20162,17367,5199,5299,8066
E01009770,2,3,1,9,6,7,3,2,7,5293,9434,2943,28116,19475,21873,9784,6292,19903
E01009771,4,5,4,10,9,10,6,5,6,12935,15400,10482,32585,26743,30668,17899,15033,17247
E01009772,2,1,2,8,6,6,8,8,6,4428,3094,6471,25069,19667,16923,25346,23949,19317
E01009773,2,2,2,10,9,6,2,2,5,5883,5994,5853,29952,27353,18630,6299,4680,14506
E01009774,4,3,4,8,4,9,6,5,7,10599,9646,11602,23268,10331,27919,17448,13453,19865
E01009775,2,2,2,9,6,7,4,3,5,4805,6058,3890,26453,17146,21553,11306,9007,13906
E01009776,5,5,4,10,7,10,3,2,6,13818,16339,11248,31262,19771,30721,8745,6018,17051
E01009777,2,2,2,6,3,8,2,2,6,6158,6116,6271,19243,8865,24658,5457,3487,19313
E01009778,5,6,4,10,8,9,2,1,5,14436,16694,12019,32100,25195,28028,3882,3033,13828
E01009779,4,4,3,10,10,9,3,2,6,9971,10923,9135,32588,30492,26915,7835,5156,18239
E01009780,8,9,7,10,5,10,10,9,8,24700,27752,20378,29806,16038,31209,30136,29075,24171
E01009781,5,6,3,9,7,7,5,4,7,13208,18050,9308,28968,21870,21098,16322,11634,21830
E01009782,1,1,1,6,3,7,4,3,8,738,729,1619,17121,8664,21696,11672,7187,23401
E01009783,1,2,1,9,7,7,3,2,7,2904,3795,2450,28829,20615,22095,8723,5563,19707
E01009784,7,7,7,10,6,10,10,10,7,22273,22600,20458,30331,17346,30680,29594,30659,20143
E01009785,6,6,5,10,6,10,7,6,6,16600,19151,13662,30045,16465,31230,20986,17901,19518
E01009786,1,1,1,9,7,7,8,7,6,1304,1263,2131,28797,21387,21239,23553,22424,17527
E01009787,8,7,8,9,4,10,7,7,6,23877,22435,23600,27702,12972,31498,22898,22243,16425
E01009788,1,1,2,8,6,7,4,3,7,2756,2091,4003,26180,17912,20210,12220,8089,20902
E01009789,6,7,5,8,4,9,9,7,8,17350,20929,13622,23255,10133,28413,26937,22953,25544
E01009790,1,1,2,8,6,7,2,2,7,2618,2379,3289,26185,16939,21372,5449,3356,20657
E01009791,6,8,4,9,6,8,6,6,5,17307,24382,11608,27531,16648,24262,18789,16846,15864
E01009792,2,2,2,9,6,7,3,3,5,6172,6081,6341,27633,18127,22484,9189,6627,15690
E01009793,6,6,6,10,8,10,3,2,5,18782,18423,18050,32362,25087,30157,8066,6024,14350
E01009794,7,9,5,9,5,10,5,5,5,20635,27741,14306,27488,13222,30374,15875,14131,13751
E01009795,2,2,3,10,8,7,1,1,6,6242,4905,8028,29931,23489,21653,2620,1790,17583
E01009796,6,8,4,8,4,9,2,1,6,17931,25943,11714,26274,13113,27725,4423,2866,19198
E01009797,6,9,4,8,4,8,4,3,5,17600,28001,10433,23755,13058,23025,10509,7822,15445
E01009798,5,5,4,9,6,9,3,2,6,13796,14894,12332,28514,16512,26742,8340,5818,16441
E01009799,8,9,6,10,7,9,6,4,7,23402,26693,19063,31137,20834,28623,17165,12961,20386
E01009800,9,9,8,10,8,10,6,5,6,27691,29119,24513,32419,24321,31564,17674,14084,18878
E01009801,8,10,6,9,5,10,5,5,5,25673,31002,19698,28947,14542,31542,16238,13714,15564
E01009802,5,6,4,9,5,9,3,2,6,14026,16524,11460,28534,15165,29154,8713,5811,18072
E01009803,9,10,8,7,3,10,6,6,5,28451,30800,24452,21742,8008,32367,18306,16596,15083
E01009804,9,10,7,4,2,10,6,5,7,27598,31645,22395,11192,3567,31271,18483,14246,21006
E01009805,6,6,6,8,4,9,5,4,7,18994,18405,18465,24006,10654,28669,15860,11389,21037
E01009806,8,9,7,8,4,9,6,5,6,24537,27787,20101,24663,11398,28195,19491,16285,18983
E01009807,9,10,8,9,4,10,8,6,8,29293,30530,26256,27029,12076,31889,24010,19578,24361
E01009808,9,10,8,4,1,10,9,8,8,29448,31813,25456,10208,3186,31607,26888,23476,24245
E01009809,2,2,2,9,7,6,2,2,8,4511,4358,4799,26903,21016,18249,5836,3328,23615
E01009810,6,6,7,9,5,9,5,4,6,19620,17675,20484,27364,14552,27365,14065,10813,16828
E01009811,7,9,5,5,2,9,6,4,8,21977,28499,15801,13543,5022,27814,18385,12995,24787
E01009812,9,10,8,2,1,10,9,8,9,28439,31845,23624,4037,1233,30971,28647,25097,26542
E01009813,3,3,2,10,9,6,5,3,8,6865,8636,5542,30176,28322,18459,13409,8363,24573
E01009814,8,9,6,9,5,10,7,6,9,23725,27228,19172,28210,13518,31665,22714,16829,28046
