ward_code,Children_and_young_people_Proportion,Children_and_young_people_Extent,Adult_skills_Proportion,Adult_skills_Extent,Geographical_barriers_Proportion,Geographical_barriers_Extent,Wider_barriers_Proportion,Wider_barriers_Extent,Indoors_Proportion,Indoors_Extent,Outdoors_Proportion,Outdoors_Extent
E05000113,0,0,0,0,0,0.10193176241869593,0.1111111111111111,0.6412282264542525,0,0.07149771364095255,0,0.5181116205800443
E05000114,0,0.17918604061074703,0,0.31269958069815973,0,0.08714785940384286,0.4,0.789924068940581,0,0,0,0.23737225883800736
E05000115,0,0.13793694424417205,0.09090909090909091,0.43609634102379236,0,0.03882299927901946,0.2727272727272727,0.7970232516222061,0,0,0,0.2606346130737803
E05000116,0,0,0,0.0612673253418243,0,0.026904421864269206,0.7142857142857143,0.9854574436536181,0,0,0.2857142857142857,0.8622487045014672
E05000117,0,0,0,0,1,1,0,0.20554704397981252,0,0,0,0
E05000118,0,0,0,0.02933090630792562,0,0.2852528366005729,0.1111111111111111,0.31589935684996906,0,0,0,0
E05000119,0,0,0,0,0,0.14716582982985577,0,0.2150818630612992,0,0,0,0.20507093934256712
E05000120,0,0.027413490091509597,0,0,0,0.11810910981471613,0,0.33924849849610383,0,0,0,0.5551320653612699
E05000121,0,0.2706221422317346,0,0.3738916723416674,0,0,0.42857142857142855,0.7682230761747251,0,0,0,0.41524467360638184
E05000122,0,0.04711882087361708,0,0.13341039073863223,0,0.04306894690772196,0.1,0.46046280513087146,0,0.11264256991108507,0,0.16026404638581573
E05000123,0,0.01599413474793852,0,0.061113407139642244,0,0,0.45454545454545453,0.8789718541499771,0,0.13108541131778512,0.2727272727272727,0.8522461764048156
E05000124,0,0,0,0,0,0.005318994332219147,0,0.10925546317472212,0,0,0,0.026729591017217495
E05000125,0,0,0,0.05953240968987177,0,0.05978109582884759,0.2,0.6523909419888854,0,0.010467120774599466,0,0.5050354331632944
E05000126,0,0,0,0,0,0.155868359662765,0,0.35338155848407954,0,0,0,0.23527973315871323
E05000127,0,0,0,0,0,0.06885233438158758,0,0.2720864291391643,0,0,0,0.09849638870650028
E05000128,0,0,0,0,0,0,0,0.4132511482987624,0,0,0.75,0.987267231795442
E05000129,0,0,0,0,0,0,0.16666666666666666,0.8987570161185054,0.16666666666666666,0.3860204260758799,1,1
E05000130,0,0,0,0,0,0,0,0.6380009423035395,0,0.050302518698835855,0.75,0.981970003337325
E05000131,0,0.04504184990778833,0,0.005664120994309667,0,0,0,0.7226698822528017,0,0.07850187575857882,1,1
E05000132,0,0,0,0,0,0,0,0.4688605597037576,0,0,0.7142857142857143,0.967254699609462
E05000133,0,0,0,0,0,0.01078221735035741,0,0.20813983109725026,0,0,0.875,0.9941075095335875
E05000134,0,0.04164676664437862,0,0.13650903080315796,0,0,0.14285714285714285,0.5166854938181878,0,0,0.7142857142857143,0.9847826086956522
E05000135,0,0,0,0,0,0,0,0.19593971169749222,0,0,0.7142857142857143,0.8781560896978448
E05000136,0,0,0,0.06048026315789473,0,0,0,0.6760616541353383,0,0,1,1
E05000137,0,0.012517757311641361,0,0,0,0,0,0.2881940650147085,0,0.0071920936799269065,0.7142857142857143,0.9666630241412019
E05000138,0,0,0,0,0,0,0,0.8180198106400192,0,0.09255825479777544,1,1
E05000139,0,0,0,0,0,0,0,0.607155618891642,0,0,1,1
E05000140,0,0,0,0,0,0,0,0.7615986358682276,0,0.013810662260192895,1,1
E05000141,0,0.06433334050287139,0,0.06955025487707826,0,0,0.25,0.890028606456886,0.125,0.27680381992988184,1,1
E05000142,0,0.01576457032411536,0,0.1937741599762117,0,0,0.125,0.8131463722866488,0,0,1,1
E05000143,0,0.009919279524036543,0.125,0.3115129538077729,0,0,0,0.7329510648441427,0,0,1,1
E05000144,0,0,0,0,0,0,0,0.3377757437070938,0,0,0.625,0.9775253089244851
E05000145,0,0,0,0,0,0,0,0.5364703027646451,0,0.08041833651648453,0.8571428571428571,0.9828550126804221
E05000170,0,0,0,0,0,0,1,1,0,0,0.7777777777777778,0.9727496433199387
E05000171,0,0,0,0.06667962646167973,0,0.04194104404108624,0.4444444444444444,0.8643022446364962,0,0,0.5555555555555556,0.9425347877926136
E05000172,0,0,0,0.3110244105909497,0,0,1,1,0,0,0.625,0.9286253259881103
E05000173,0,0.01563223289271622,0,0,0,0,0.75,0.9481436034592974,0,0.09385273003813456,0.5,0.9681133676715873
E05000174,0,0,0,0,0,0.05604454361900497,0.7777777777777778,0.9884508178684075,0,0.11807051002405153,0.7777777777777778,0.9844247896937385
E05000175,0,0,0,0,0,0.04976698704893272,1,1,0,0.050325231431701395,1,1
E05000176,0,0,0,0,0,0,0.875,0.9791315394179837,0,0.03440170479455499,0.625,0.9485280694567225
E05000177,0,0,0,0.1294003967660926,0,0,1,1,0,0,0.6,0.9121832684266202
E05000178,0,0,0,0,0.125,0.12220251091703056,0.875,0.994132096069869,0,0.033479911227304066,0.625,0.9447623391174442
E05000179,0,0,0,0,0,0,0.5555555555555556,0.865964394730235,0,0.04054914306856772,0.8888888888888888,0.9894515506692919
E05000180,0,0,0,0,0,0,0.7777777777777778,0.9699068561297663,0,0.04819533751422295,0.4444444444444444,0.9307497627931064
E05000181,0,0,0,0.0305015829781905,0,0,1,1,0,0,0,0.8695874473155898
E05000182,0,0,0,0,0,0,0.125,0.7372687294796537,0,0.09488289722415678,0.75,0.9691752064471197
E05000183,0,0,0,0.06660566155860047,0,0,1,1,0,0,0.125,0.7878749235212931
E05000184,0,0,0,0.13929090220646445,0,0,1,1,0,0,0.4444444444444444,0.8867643110392069
E05000185,0,0,0,0.3012374475893637,0,0.17817390043075385,1,1,0,0,0.4444444444444444,0.8719596771201219
E05000186,0,0,0,0.27922730745401814,0,0.010786679995286834,1,1,0,0,0.75,0.957482525190712
E05000187,0,0,0,0.011168802767432302,0,0.05336485573036089,1,1,0,0.0472529456984188,0.4444444444444444,0.8467287505467269
E05000188,0,0,0,0.11855823143243546,0,0,1,1,0,0.08082331933956946,0.8888888888888888,0.9896270638453736
E05000189,0,0,0,0.4856946572758884,0,0,1,1,0,0,0.8571428571428571,0.9618028746979431
E05000190,0,0,0,0.6389483509645301,0,0,1,1,0,0,0.5,0.9248485245472111
E05000191,0,0,0,0,0,0,0.375,0.8234450463259897,0,0.04565891862235237,0.5,0.9516917293233081
E05000192,0,0,0,0,0,0,0.375,0.86988277274245,0,0.1170456236900437,0.625,0.9807765802950393
E05000193,0,0,0,0.010546073678025446,0,0,1,1,0,0.13175642474993382,0.375,0.8257694409032963
E05000194,0,0,0,0,0,0,0.4444444444444444,0.8571372756604153,0,0,0,0.6463961628208451
E05000195,0,0.1548896920412619,0,0.1371107220841804,0.125,0.12761087267525037,0.5,0.9034067464799337,0,0.2597647014532038,0,0.3208969580603869
E05000196,0,0,0,0,0.125,0.23468263432507364,0.625,0.7606750956441923,0,0,0,0.24041827641077532
E05000197,0,0.030655311044136498,0.3,0.8447403591738676,0,0,1,1,0,0.07544166265360118,0.7,0.8832795853105571
E05000198,0,0.06503721250239547,0.1111111111111111,0.7717371908252096,0,0,1,1,0,0.09967814091427457,0.1111111111111111,0.6242547289252198
E05000199,0,0,0.1111111111111111,0.36938307854151825,0,0.0886565629038355,1,1,0,0.21634359826407504,0,0.4372561602770915
E05000200,0,0,0,0,0,0.12872634759103194,0.125,0.6898491413579264,0,0,0,0.4172877245985052
E05000201,0,0.07131277551815678,0.2,0.6042487639737938,0,0,1,1,0,0.09436725200321484,0.4,0.8457781789619815
E05000202,0,0,0,0,0,0.3936931569571196,0.25,0.7962784410551319,0,0,0,0.05542333416677081
E05000203,0,0.006148030242737756,0,0.476145272652383,0,0,1,1,0,0.15416169253216602,0,0.794653067208411
E05000204,0,0.04846891846436406,0.1111111111111111,0.613237224615183,0,0.028406794090593816,1,1,0,0.060142466340615396,0.2222222222222222,0.8045134682189325
E05000205,0,0,0,0,0,0,1,1,0,0,0.4444444444444444,0.8740919269809321
E05000206,0,0,0.1111111111111111,0.6445796853510448,0,0,1,1,0,0.16651688973868703,0.3333333333333333,0.8573838515984031
E05000207,0,0.10731375007751083,0.125,0.2424821380588531,0,0,1,1,0,0.19669666048876605,0.25,0.7330011850545332
E05000208,0,0,0,0,0,0.08818053966437833,0.75,0.9514768579056336,0,0.01820447858777377,0,0.25187152664269363
E05000209,0,0.022572018531563664,0,0.022572018531563664,0,0,0.5555555555555556,0.8610388037227124,0,0,0.3333333333333333,0.7135021002687301
E05000210,0,0,0,0,0,0,0.3333333333333333,0.8249841534089326,0,0.035115000975174816,0,0.30265247555097374
E05000211,0,0.030047065212472277,0.25,0.7167499242848837,0,0.03500388148756704,1,1,0,0.040784338980926746,0.125,0.5928648511284162
E05000212,0,0.05385384567179712,0.2,0.6595495377673879,0,0.01124548052846824,1,1,0,0.08318606735817645,0.7,0.9314504813049863
E05000213,0,0,0,0,0,0.005463623395149778,0.5,0.8748077933778812,0,0.06454538629026203,0,0.51462271942338
E05000214,0,0,0,0.14198234736531318,0,0,0.6666666666666666,0.9259165850853884,0,0.07032694668469222,0,0.503341102978882
E05000215,0,0,0,0,0,0,0.25,0.8311092225243961,0,0,0.625,0.8363249880019197
E05000216,0,0,0,0,0,0,0.625,0.8985328917052687,0,0.034816667763807506,0.375,0.8229691056685224
E05000217,0,0,0,0.2425958140693348,0,0,0.125,0.512143518734725,0,0,0,0.39413206930369393
E05000218,0,0,0,0,0.125,0.11387845811939612,0,0.5024666136949393,0,0.04144015875384682,0.25,0.6778466589494657
E05000219,0,0.09449798012078302,0,0.2118595180150282,0,0,0.14285714285714285,0.6953141260437409,0,0,0,0.5015818972934437
E05000220,0,0.013967928706008551,0.3333333333333333,0.41291470117677254,0,0,0.8333333333333334,0.9745164780254791,0,0.048638482802249895,0.8333333333333334,0.9609998670572434
E05000221,0,0.012692375025862197,0,0.08441954599228642,0,0.008347126509954958,0.9,0.9956229210765044,0,0.009632809723128502,0,0.6479708115162415
E05000222,0,0,0,0,0,0,0.5555555555555556,0.9419168986415657,0,0.0475198672016686,0.7777777777777778,0.9659495431015201
E05000223,0,0,0,0.14760845998982322,0,0,0.75,0.9666539457091657,0,0,0.125,0.7581025124812872
E05000224,0,0.0610599721059972,0,0.3564706745944358,0,0.12545437862438522,0.5555555555555556,0.9083215884900535,0,0,0.4444444444444444,0.7488724950451442
E05000225,0,0,0,0,0,0,0.5555555555555556,0.9428907403813577,0.1111111111111111,0.22928566964564712,0.8888888888888888,0.9766378088211591
E05000226,0,0,0,0,0,0,0.7777777777777778,0.9649981099156731,0,0.06334588543181155,0,0.6090873800523408
E05000227,0,0,0,0,0,0,0.1111111111111111,0.685121414130786,0,0.05770008342289393,0,0.5165684631398573
E05000228,0,0,0,0.056138468225338675,0,0.1490764364838284,1,1,0,0,0.09090909090909091,0.46024968874853583
E05000229,0,0.07633643677386667,0,0.13547645475605433,0,0,1,1,0,0,0.2,0.7421450934107289
E05000230,0,0.026097122038649553,0,0.137410078969345,0,0,1,1,0,0.0728133256496535,0.23076923076923078,0.7527380434941859
E05000250,0,0,0,0,0,0,0.7142857142857143,0.9525616650130369,0,0,1,1
E05000251,0,0,0,0,0,0,0.75,0.9717484087524174,0,0.05615622012937454,0.875,0.9734897041279815
E05000252,0,0,0,0,0,0,0.625,0.9644735746800616,0,0,1,1
E05000253,0,0,0,0.14843033682595883,0,0,1,1,0,0.0977622784912319,0.8,0.9311219458748767
E05000254,0,0,0,0.026221354822462854,0,0,0.7142857142857143,0.9456620595471011,0,0,1,1
E05000255,0,0.08136670038667711,0,0,0,0,0.7142857142857143,0.93689457612056,0,0.03143666152988001,1,1
E05000256,0,0,0,0,0,0,0.75,0.9633915193799155,0,0,1,1
E05000257,0,0,0,0,0,0,0.14285714285714285,0.7476890318137062,0,0,1,1
E05000258,0,0,0,0,0,0,0.8571428571428571,0.9620421708136454,0,0,1,1
E05000259,0,0,0,0,0,0,0,0.6182755178086814,0,0.1097596214688471,0.8,0.9695290858725761
E05000260,0,0,0,0,0,0,0.14285714285714285,0.72764133787798,0,0.02705389785969989,1,1
E05000261,0,0,0,0,0,0,0.5714285714285714,0.8741576175959285,0,0.14695976417827716,1,1
E05000262,0,0,0,0,0,0,0.75,0.9466162408200733,0.125,0.17880240208078335,0.875,0.9764615208078335
E05000263,0,0,0,0,0,0,1,1,0,0.023642080687418517,1,1
E05000264,0,0,0,0,0,0,0.2857142857142857,0.861994194693662,0,0.10424027251355367,1,1
E05000265,0,0,0,0.1767760340675895,0,0,0.875,0.9942378483960633,0,0.05359022415176999,1,1
E05000266,0,0,0,0,0,0,0,0.7517572935398158,0,0,0.8571428571428571,0.99275454699983
E05000267,0,0.03280839848144484,0,0,0,0,1,1,0,0.22105281014846268,1,1
E05000268,0,0.10450959458709996,0,0.1860297889745438,0,0,1,1,0,0,1,1
E05000269,0,0,0,0,0,0,0.42857142857142855,0.9388790736242077,0,0.19233860718616272,1,1
E05000270,0,0,0,0,0,0,0.42857142857142855,0.8266106607300373,0,0.20834943504011427,0.7142857142857143,0.9645408913344815
E05000271,0,0.13034676060424577,0,0,0,0,1,1,0,0,1,1
E05000272,0,0,0,0,0,0,0.8571428571428571,0.9689845630241887,0,0.12465151330983347,0.8571428571428571,0.9935242494226327
E05000273,0,0.026483814036699454,0,0.05272465730242003,0,0,0.75,0.9577520972850131,0,0.07048831886790931,1,1
E05000274,0,0,0,0,0,0,0.14285714285714285,0.7771430727804802,0,0.053931421671024625,0.5714285714285714,0.9692541790223546
