msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_Score,Housing_Proportion,Housing_Extent,Access_Score,Access_Proportion,Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
W02000176,27.512504703327796,0.16666666666666666,0.25898430489379315,32.38900629700077,0.16666666666666666,0.31435080386038244,33.82868642508195,0.16666666666666666,0.25107480504142327,28.452329095804643,0.16666666666666666,0.28271280445090285,32.91701581555231,0.16666666666666666,0.25898430489379315,28.364813290331206,0.16666666666666666,0.28271280445090285,9.810978226293587,0,0,13.737275312065337,0,0.08054669453305466,10.899943766375866,0,0
W02000177,19.55490403669845,0,0.15225371312156866,21.720796810377113,0,0.2761989469190266,19.47864082711456,0,0.0833952499007587,18.275889545761917,0,0.0971669425449207,25.475514317834065,0,0.2761989469190266,32.11149743188985,0.25,0.31122812010815426,8.80883740087491,0,0,10.686111750711826,0,0,16.405428150639246,0,0.015561406005407692
W02000178,54.110068476493836,0.6,0.927604152453102,69.0186097177704,0.8,0.986632790625324,58.76578145593384,0.6,0.8055505220585425,66.32612320645961,1,1,67.3967263777756,0.6,0.9038045050404712,43.833411661852125,0.4,0.6925170699225508,11.443574616215287,0,0,32.10472930432957,0,0.31558343385166215,7.98284952527481,0,0
W02000179,9.292166008891437,0,0,10.570845590207298,0,0,10.875130128263589,0,0,4.5745085320484,0,0,14.377348967185405,0,0,8.01659285126761,0,0,6.10086267046493,0,0,5.1654385569535375,0,0,8.651678513268354,0,0
W02000180,37.1195059311119,0.4,0.5977334757327638,44.57115690381512,0.6,0.607808235433725,40.14625229525573,0.4,0.5309219114000737,47.181628064257744,0.6,0.7207381661701423,38.20736939431945,0.2,0.5438824455228494,50.60094306061469,0.6,0.8577810671213455,13.953479725044973,0,0,17.833739840714134,0,0.029043550492464678,17.099557035360153,0,0
W02000181,33.92817929920287,0.25,0.47966093991455316,41.24961261542314,0.25,0.6129117632662765,38.3164832972127,0.25,0.43217259969373406,33.38037405457154,0.25,0.33492864285064994,45.68258593641424,0.25,0.6127733143140834,23.44248092945277,0,0.14115150370945298,23.044297852678095,0,0.08715396502415862,14.294723938647802,0,0,13.666012965410257,0,0.029584373448567604
W02000182,23.38957992296765,0,0.08758840907408527,24.955223724229636,0,0.10667131003573373,20.434072797821248,0,0.13595010733585017,30.6942171031262,0,0.2916648160485602,20.328345014975067,0,0.058571390117026334,20.24689578697302,0,0.08758840907408527,39.9599864028986,0.2,0.6406523597063237,6.473289200579977,0,0,32.01239571166091,0,0.3352599950201549
W02000183,41.39178998345059,0.16666666666666666,0.7066905676395828,47.52309205261782,0.16666666666666666,0.7192372998378757,47.93916226884948,0.3333333333333333,0.608675695165423,38.18975730778544,0.16666666666666666,0.5117624495599118,42.68919839789233,0.16666666666666666,0.5092768847587825,41.393839847094554,0.3333333333333333,0.5694807419871221,46.10278877789136,0.16666666666666666,0.6680850410936485,19.85361496559489,0,0.05762955878667612,27.157990963510834,0,0.20563394688255954
W02000184,23.385248243215567,0,0.2034222147972747,24.145643279475575,0,0.13937090518180628,31.39292433286779,0.25,0.26510706451472316,19.930516702778082,0,0,25.98116752708253,0.25,0.22536571901738892,31.748770312560033,0,0.40731183811031857,8.107307515451284,0,0,16.970896258412917,0,0.021943504220114176,12.545524658187137,0,0
W02000185,8.665941855076817,0,0,7.645154061149103,0,0,8.276639344933818,0,0,6.416221289264526,0,0,9.618528904324009,0,0,1.9900876620646049,0,0,7.043764654172543,0,0,18.861167702004728,0,0.0333127727729803,6.86824621812015,0,0
W02000186,61.491407145933174,0.8333333333333334,0.9357380453772374,77.74298264823588,0.8333333333333334,0.9783165183788225,68.91872281009452,0.8333333333333334,0.8931595723756522,73.77207518519235,0.8333333333333334,0.9570272818780298,76.48218643009562,0.8333333333333334,0.9499308697110991,38.7426795407716,0.16666666666666666,0.5854621027177748,26.501126199285554,0,0.0913806967407527,31.506392167125743,0,0.3572662007844407,9.651228558944604,0,0
W02000187,6.432186167269491,0,0,6.876019682300284,0,0,8.496254860555537,0,0,6.314345092488608,0,0,5.966583594141688,0,0,1.929973620783731,0,0,4.601830178344962,0,0,7.092244974635635,0,0,2.8687725006623355,0,0
W02000188,28.311903079980652,0,0.3101164640743333,29.78627549813543,0,0.24646980207471514,26.066568722980655,0,0.10938935912938329,29.480452541860945,0,0.24274677019028826,35.63604866370375,0.25,0.4794294533189079,24.253094864377267,0,0.07314993954050784,38.350788080025396,0,0.589765162604213,20.19688728624341,0,0.12146916565900845,12.694161146727327,0,0
W02000189,13.679308761792527,0,0.11178410062278667,18.44955245943876,0,0.20278422273781901,22.655434984214438,0.2,0.21345707656612528,3.7581916249538403,0,0,12.772374732830261,0,0.030895103187202323,8.047737975984491,0,0,7.213492905570277,0,0,7.400949951749054,0,0,10.935641792246795,0,0
W02000190,2.442251965016753,0,0,2.444762243065018,0,0,2.5699787377722374,0,0,2.306726523885122,0,0,2.561825091051456,0,0,1.4078313644698843,0,0,3.0323386831591543,0,0,1.2945660523601914,0,0,4.393631818916633,0,0
W02000191,12.391928091177554,0,0,10.041403318590168,0,0,8.794100471528854,0,0.008043075020610047,5.766508831403751,0,0,10.104888694124485,0,0,17.61027225730709,0,0.12233940426085824,51.07691839528246,0.3333333333333333,0.6608012973488958,9.450524346983203,0,0,10.482447634524526,0,0
W02000192,33.521751186774914,0.16666666666666666,0.4251040094158586,32.95317638932037,0.16666666666666666,0.34397205946319365,32.11756601878269,0.16666666666666666,0.18609625668449198,27.77468952989305,0,0.19828083821610415,34.04988250397589,0.16666666666666666,0.4613540413990737,64.48236868314244,0.6666666666666666,0.8533925236036128,34.415718796314145,0.3333333333333333,0.44002277204922857,32.197522838196406,0,0.32218483739733383,27.14555826708313,0,0.20827316224445408
W02000193,17.089269368270987,0,0,10.345705590461366,0,0,8.249169994792243,0,0,9.791111842911635,0,0,13.802014703555228,0,0,18.017267729656552,0,0,70.39938590543642,1,1,23.642103142873832,0,0.010579283259695618,27.28616322450368,0,0.37763325840374123
W02000194,4.043761353112178,0,0,1.5570552558285085,0,0,3.332000240975456,0,0,1.6012874603758653,0,0,4.050163813167558,0,0,6.890234069908276,0,0,13.740594929729863,0,0.07216181974760688,4.251026753169761,0,0,8.10016606871932,0,0
W02000195,2.308661142073284,0,0,1.9071732164964734,0,0,1.8069194211856185,0,0,0.9133364478665061,0,0,1.4141607218613452,0,0,1.606573983512128,0,0,1.9941121282398075,0,0,5.815336914462756,0,0,7.002386227315672,0,0
W02000196,15.33244783103135,0,0.07452581430524212,20.346437006473032,0,0.29952116344341717,24.54727770002843,0.25,0.3787641649074276,9.794768098668204,0,0,12.478304128282465,0,0,8.609806774071462,0,0,7.581906910397111,0,0,7.937205580663747,0,0,9.157461224767328,0,0.03516658173788549
W02000197,5.8068100768924795,0,0,2.203552302160965,0,0,2.979244744208892,0,0,1.968394286816806,0,0,1.6877528661945451,0,0,1.277861785005991,0,0,10.636330766869147,0,0,32.36936831841416,0.25,0.5526170581743655,1.8496704428046664,0,0
W02000198,3.6157573500766635,0,0,2.8004490267874207,0,0,3.826438295920502,0,0,0.860223256655959,0,0,1.061033054121069,0,0,7.31804294327993,0,0,9.735670750362667,0,0,6.164541264852477,0,0,4.288053973935214,0,0
W02000200,22.505419201898665,0,0.11978112106269492,20.98354757442256,0,0,26.047032590470362,0,0.13350256616685113,31.986127235179733,0,0.38687380497131924,27.084273653940727,0,0.2595496628761195,8.2995541504761,0,0,16.158650926765013,0,0.0871138170473986,14.292009556114532,0,0,12.854169523460802,0,0
