msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_and_Access_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
E02005820,18.385246310611386,0,0,0.1005880182712579,0,0,0.10083450456781448,0,0.08819118245367458,20.715129831342235,0,0,0.43228478566408995,0,0.17342299441506082,0.07570115952213632,0,0.09217692421496466,17.334267217146873,0,0.011674279690794083,9.534966268446944,0,0
E02005821,32.73375843694494,0.25,0.5135084603159764,0.18253137951450563,0.25,0.473431803309339,0.1658519834221433,0.5,0.5260041756255648,47.36741947898165,0.75,0.7526642984014209,0.8160094730609828,0.5,0.4937521423452058,0.21588573120189458,0,0.2127266990745068,16.045469360568383,0,0,9.715226909413856,0,0
E02005822,32.67363341841744,0.2,0.42556966734527263,0.18612958963282936,0.2,0.3396377380718633,0.1477261928136658,0.2,0.43500986906693395,39.40734655409385,0.2,0.45961148945404934,0.7503124877282544,0.2,0.6655600566308763,0.8354569016296878,0.4,0.5084920479088946,16.338227959945023,0,0,17.375401629687808,0,0
E02005823,51.36316700924974,0.8,0.9500378644452859,0.2832589928057554,0.6,0.8572354898036458,0.23885097636176772,1,1,62.38889889516958,0.8,0.9609286255206362,1.6346310380267215,1,1,0.7878369732785201,0.2,0.6338599421214908,18.243864080164442,0,0,13.947998329907502,0,0
E02005824,17.586262701733414,0,0.01238687723492832,0.10586521219366407,0,0.030465022388607498,0.10222494520820881,0,0.1468973165130399,25.045865112572226,0,0.22799047828776964,0.20200916517234507,0,0.1704320948815553,-0.2094254831639769,0,0,12.764118051404663,0,0,9.431120043833433,0,0
E02005825,29.019289503175195,0.2,0.3041533138037473,0.15993985805005603,0.2,0.2946513182470558,0.14164587224505043,0.2,0.3502447751803865,37.93360478147179,0.2,0.3986276861372707,0.5402084422861412,0,0.3607121089986827,0.30144378035113933,0.4,0.3960590212924916,18.541281285020546,0,0.1547795057310815,11.44142099364961,0,0
E02005826,42.88877332268371,0.5,0.8775365730620481,0.26423929712460065,0.5,0.9285976122414662,0.19617763578274763,0.5,0.9381923658987724,60.20932987220448,0.75,0.9610879435009247,1.1025833865814696,0.25,0.9255271565495207,0.6811340255591055,0.25,0.38043004876408276,15.415009584664539,0,0,12.28595143769968,0,0
E02005827,18.86870286166723,0,0,0.10577445990272594,0,0.0073916977717452675,0.10720450175319535,0,0.10760273605629272,21.737850695622665,0,0.13339524583430068,0.31361735097839616,0,0.03277493019960826,0.023865626060400418,0,0.01132224861441012,21.260095690532744,0,0.024425672256651113,7.7358699242167175,0,0
E02005828,18.812105298367673,0,0,0.11057746855766658,0,0.05459346788163879,0.10588546962804389,0,0.1084390800388716,29.787133663366337,0,0.2780759263693083,0.32390875033449296,0,0.0799828880469839,-0.3123983141557399,0,0,12.601096066363391,0,0,8.908579475515118,0,0
E02005829,19.667519322235435,0,0,0.12135998810939358,0,0.0256093935790725,0.10396611177170034,0,0.13839805369547528,29.48535939357907,0,0.2468583766193128,0.3988787158145065,0,0.2118303711120846,-0.035850475624256826,0,0,13.5553983353151,0,0,8.17748216409037,0,0
