ltla21_code,Proportion,Extent
E08000009,0.028985507246376812,0.10245284683612947
E08000010,0.135,0.2822803877629265
E08000011,0.45918367346938777,0.5736503636778054
E08000012,0.44966442953020136,0.5943282761822714
E08000013,0.23529411764705882,0.37291920066129414
E08000014,0.20105820105820105,0.27354745736932595
E08000015,0.21359223300970873,0.30762559556475294
E08000016,0.21768707482993196,0.36682107479499404
E08000017,0.20618556701030927,0.35719286444628195
E08000018,0.19161676646706588,0.3239922358072055
E08000019,0.23478260869565218,0.34325844563937913
E08000021,0.22285714285714286,0.34980485047885007
E08000022,0.06870229007633588,0.2000658005776133
E08000023,0.21568627450980393,0.43387174784726384
E08000024,0.1945945945945946,0.37303354744702205
E08000025,0.39593114241001565,0.5579211438164187
E08000026,0.18461538461538463,0.3196851685835412
E08000027,0.07960199004975124,0.23367927446434664
E08000028,0.22580645161290322,0.5161054028081536
E08000029,0.11940298507462686,0.17105640040403836
E08000030,0.20359281437125748,0.4484263308645889
E08000031,0.25949367088607594,0.4930814964254482
E08000032,0.3258064516129032,0.4499486695156515
E08000033,0.1484375,0.2505066058344851
E08000034,0.0888030888030888,0.25193554020910536
E08000035,0.21784232365145229,0.3136743817592783
E08000036,0.14354066985645933,0.3082885948102776
E08000037,0.11904761904761904,0.2740317867357787
E09000001,0,0
E09000002,0.045454545454545456,0.5286962802156524
E09000003,0.009478672985781991,0.08688627630523295
E09000004,0,0.07156453311268617
E09000005,0.08092485549132948,0.23002035614046235
E09000006,0.030456852791878174,0.09888345855084665
E09000007,0.05263157894736842,0.254929335433961
E09000008,0.02727272727272727,0.21467552234793974
E09000009,0.04081632653061224,0.19514538567770814
E09000010,0.1092896174863388,0.31976706959480317
E09000011,0.019867549668874173,0.23068477241483018
E09000012,0.1736111111111111,0.5166912930214032
E09000013,0.07079646017699115,0.2141790127368726
E09000014,0.18620689655172415,0.4140498661605812
E09000015,0,0.024472228236003802
E09000016,0.006666666666666667,0.1010056253371349
E09000017,0,0.07410228409650454
E09000018,0.014084507042253521,0.11434344506331419
E09000019,0.14634146341463414,0.4197376744279189
E09000020,0.10679611650485436,0.22061463139667933
E09000021,0,0.013199301653643584
E09000022,0.07303370786516854,0.3077229920653964
E09000023,0.047337278106508875,0.3151609177869448
E09000024,0,0.04462744077402059
E09000025,0.07926829268292683,0.42126199561766575
E09000026,0.006211180124223602,0.0851813600659649
E09000027,0,0.008373845740736357
E09000028,0.04819277108433735,0.37162885708804083
E09000029,0.008264462809917356,0.06112772053047455
E09000030,0.2361111111111111,0.5752691134001473
E09000031,0.09722222222222222,0.32551257287891927
E09000032,0.00558659217877095,0.07189369888416101
E09000033,0.140625,0.2952674298697811
