ltla21_code,Score,Proportion,Extent
E07000047,16.308352308010765,0,0
E07000061,21.74693822643134,0.01639344262295082,0.1199838004395405
E07000062,31.72866947762942,0.22641509433962265,0.38974615033719223
E07000063,12.890664783836629,0,0.00240546782990498
E07000064,16.18883157894737,0,0.042688519544475216
E07000065,9.432784394836316,0,0.009130289528113842
E07000066,20.717449077979992,0.03636363636363636,0.17941155014811946
E07000067,13.293047882807377,0,0.0067996041411743004
E07000068,9.005759565962308,0,0
E07000069,12.712331217541834,0,0.005425334831597169
E07000070,8.502675093118398,0,0.004776435501650259
E07000071,14.638701666142723,0,0.04396730587865451
E07000072,13.33469873543268,0,0.012481675301569073
E07000073,21.364971443076534,0,0.049756848651645605
E07000074,10.676388655814733,0,0
E07000075,8.710639490445859,0,0.004896413007039891
E07000076,23.132081232896443,0.044444444444444446,0.1412954736690495
E07000077,6.759346301442371,0,0
E07000078,14.408695810233572,0.013333333333333334,0.08436239877162685
E07000079,8.82557144633752,0,0
E07000080,15.933542343242568,0,0.010707758654693186
E07000081,20.015144288923448,0.07692307692307693,0.19074445444871896
E07000082,10.228415062916358,0,0
E07000083,9.948039506172838,0,0.0072550357374918766
E07000084,8.858968701580416,0,0
E07000085,8.072831525150184,0,0
E07000086,8.912256732341048,0,0.0025949003110891733
E07000087,7.791576659885334,0,0.0070218430299903625
E07000088,16.50848529592716,0,0.059474914676873054
E07000089,4.262438383174499,0,0
E07000090,20.075608796098226,0.038461538461538464,0.20291484465420415
E07000091,10.378261562057574,0,0.010344843645214971
E07000092,10.366278737212628,0,0.019299017536140425
E07000093,8.638998483902613,0,0
E07000094,6.951065197428834,0,0
E07000095,14.720684554523563,0,0.022806112287943797
E07000096,9.52186656076251,0,0
E07000098,12.008261514028588,0,0.009274469922821875
E07000099,10.04661484040803,0,0.001313624634142117
E07000102,9.416380745566414,0,0.013019474128680366
E07000103,14.458208566108008,0,0.0062867130582508375
E07000105,13.148625106022052,0,0.03053702959689299
E07000106,16.180560433128477,0,0.047396723811284125
E07000107,17.183540090771558,0,0.0554113813569184
E07000108,18.932309210526316,0.014705882352941176,0.08301023941432527
E07000109,18.226913846153845,0,0.10951201079622132
E07000110,11.95911357147831,0.010526315789473684,0.04595761913662367
E07000111,9.559283229586232,0,0.009661729846402897
E07000112,21.09609343536045,0.05970149253731343,0.12953610869703455
E07000113,20.517926259988926,0.047058823529411764,0.1523829750021862
E07000114,25.590297295165996,0.11904761904761904,0.23696890084212183
E07000115,9.355961196155215,0,0.0024278166045230546
E07000116,10.502349432364825,0,8.803155666730793e-4
E07000117,31.831139664804468,0.23333333333333334,0.38539282563951777
E07000118,17.14804689072248,0,0.10868092701062375
E07000119,13.061462012320328,0,0.015152563132677686
E07000120,28.529968090328914,0.16981132075471697,0.3215002712967987
E07000121,22.231572029830907,0.08888888888888889,0.1856521333607962
E07000122,27.591153415453526,0.14035087719298245,0.3373843342959863
E07000123,29.515182008056094,0.20930232558139536,0.37459856937584896
E07000124,10.336044403330249,0,0
E07000125,24.051514551272284,0.045454545454545456,0.18910479001098662
E07000126,14.054806414879483,0.014285714285714285,0.03889757369320054
E07000127,21.073238060114328,0.0821917808219178,0.17783563186039966
E07000128,17.77407561436673,0.043478260869565216,0.1279596557556462
E07000129,8.68129988851728,0,0
E07000130,12.137525403856175,0,0.02793241408628397
E07000131,7.21773582440554,0,0
E07000132,11.071204711049006,0,0.003585293206066368
E07000133,10.128865440869202,0,0
E07000134,15.717465013084537,0,0.039476378966531125
E07000135,9.692857142857143,0,0
E07000136,21.859091563230795,0.027777777777777776,0.10964296872780979
E07000137,24.577059045036904,0.06172839506172839,0.19940086886896408
E07000138,27.227215502055195,0.10526315789473684,0.2879463485490002
E07000139,11.690518099326763,0,0
E07000140,15.213936898124683,0,0.0033835062821778203
E07000141,12.041380389701855,0.012345679012345678,0.03150810746248985
E07000142,17.708793016829944,0.018867924528301886,0.09174400772088473
E07000143,14.456829228377384,0,0.018256969237593613
E07000144,9.626031652496001,0,4.7983837023318396e-4
E07000145,27.650003299241174,0.18032786885245902,0.27965786290205885
E07000146,19.013041915306637,0.07865168539325842,0.0946070510952772
E07000147,16.915045191428863,0,0.009842698550988009
E07000148,28.87760133820898,0.13253012048192772,0.3675865147190703
E07000149,10.746879153550193,0,0
E07000163,11.94596909327872,0,0.01569050162176993
E07000164,10.210233279705815,0,8.388876120432073e-4
E07000165,11.076650161748201,0,0.011913771356495814
