lad_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Employment_Score,Employment_Proportion,Education_Score,Education_Proportion,Health_Score,Health_Proportion,Crime_Score,Crime_Proportion,Housing_and_Access_Score,Housing_and_Access_Proportion,Environment_Score,Environment_Proportion
E06000019,18.89,0.0086,0.0687,0.098,0.0172,0.08,0.0172,20.465,0.0603,-0.312,0,-0.612,0,26.817,0.2586,34.71,0.3793
E06000020,24.988,0.1667,0.2605,0.156,0.1759,0.12,0.1852,27.926,0.1944,0.446,0.1667,0.19,0.1296,19.797,0.0278,9.424,0.0093
E06000021,34.504,0.3208,0.5073,0.19,0.283,0.152,0.3082,38.935,0.3208,1.037,0.4277,0.504,0.2201,15.555,0,23.446,0.0881
E06000022,11.745,0.0174,0.0402,0.079,0.0087,0.063,0.0087,14.043,0.0609,-0.668,0.0087,-0.279,0.0087,16.763,0.0261,13.986,0.0087
E06000023,26.363,0.1559,0.288,0.141,0.1293,0.102,0.1255,27.137,0.1901,0.322,0.1293,0.756,0.308,23.624,0.0342,22.596,0.0304
E06000024,15.825,0.0593,0.1151,0.101,0.0593,0.09,0.0963,16.945,0.0519,-0.263,0.0519,-0.164,0.0667,18.52,0.037,9.682,0.0074
E06000025,11.66,0,0.0126,0.074,0,0.062,0,18.385,0.0364,-0.813,0,-0.222,0.0121,19.871,0.0424,9.496,0.0242
E06000026,26.619,0.1739,0.306,0.148,0.1242,0.128,0.1925,25.623,0.1242,0.666,0.2298,-0.051,0.0994,18.139,0,25.786,0.1677
E06000027,28.104,0.1573,0.2912,0.174,0.1124,0.15,0.1685,25.498,0.0787,0.504,0.1236,0.028,0.1124,20.512,0.0112,21.199,0.1011
E06000030,18.622,0.0909,0.1566,0.109,0.0606,0.082,0.0606,24.621,0.1212,0.007,0.0606,0.209,0.1515,19.022,0.0076,14.221,0.0227
E06000031,27.821,0.1429,0.3675,0.156,0.1071,0.112,0.125,34.571,0.2768,0.413,0.0804,0.523,0.2768,26.749,0.1339,17.397,0.0268
E06000032,25.908,0.0331,0.271,0.155,0.0744,0.1,0.0248,27.432,0.0165,0.294,0.0496,0.392,0.0496,30.233,0.1322,22.093,0.0165
E06000033,22.375,0.0841,0.2216,0.144,0.1215,0.111,0.1215,25.052,0.0841,0.062,0.1028,0.203,0.0748,17.644,0,17.07,0
E06000034,20.928,0.0408,0.1214,0.13,0.051,0.088,0.0204,30.002,0.0816,-0.234,0,0.284,0.1122,24.22,0.0714,16.481,0.0306
E06000035,23.936,0.0859,0.2389,0.134,0.0859,0.105,0.0798,28.026,0.1104,0.075,0.0429,0.555,0.227,19.252,0.0245,25.313,0.1472
E06000036,10.241,0,0.0025,0.068,0,0.053,0,17.048,0,-0.907,0,-0.856,0,25.882,0.08,4.595,0
